date,Positive,Negative,Neutral
2020-01-21,2,0,5
2020-01-22,547,1820,341
2020-01-23,1145,4706,755
2020-01-24,17689,16449,4976
2020-01-25,15825,30957,5835
2020-01-26,9776,136913,4246
2020-01-27,13665,59948,9787
2020-01-28,18528,30461,13180
2020-01-29,51716,51677,26032
2020-01-30,116967,73053,45621
2020-01-31,144883,94399,27160
2020-02-01,38652,24909,5072
2020-02-02,11992,12335,4081
2020-02-03,26064,19400,4159
2020-02-04,36465,20315,14737
2020-02-05,23607,38871,7122
2020-02-06,15073,45512,6256
2020-02-07,74153,18124,9131
2020-02-08,9762,22441,8666
2020-02-09,11432,20846,4209
2020-02-10,50265,97913,16904
2020-02-11,30327,57470,12962
2020-02-12,9760,15836,4101
2020-02-13,27419,13701,5735
2020-02-14,20184,14995,4400
2020-02-15,12985,13109,4040
2020-02-16,17763,22533,5534
2020-02-17,16352,18224,9784
2020-02-18,18138,22789,9541
2020-02-19,15342,13311,7243
2020-02-20,23422,33869,6817
2020-02-21,28872,124348,33593
2020-02-22,24235,60300,11007
2020-02-24,26895,228380,19504
2020-02-25,72708,263065,27211
2020-02-26,89665,189810,92586
2020-02-27,172854,441607,69590
2020-02-28,564509,734534,154513
2020-02-29,869232,1915617,306978
2020-03-01,308845,760871,151530
2020-03-02,54123,75996,38040
2020-03-03,580968,617522,161965
2020-03-04,341876,403703,129736
2020-03-05,63117,131444,31654
2020-03-06,104757,158633,58210
2020-03-07,65268,147030,23148
2020-03-08,101662,174174,71589
2020-03-09,72447,200959,30441
2020-03-10,67365,187296,43458
2020-03-11,63733,67729,20321
2020-03-12,92475,82770,34886
2020-03-13,80453,132542,38651
2020-03-14,67904,63618,24531
2020-03-15,40407,45984,22551
2020-03-16,16548,58894,67873
2020-03-17,51695,120670,55839
2020-03-18,24164,116614,18416
2020-03-19,29700,62444,21015
2020-03-20,46214,58444,32274
2020-03-21,102637,86563,31993
2020-03-22,46579,161721,16872
2020-03-23,45115,66290,15900
2020-03-24,45863,52102,19879
2020-03-25,42822,80634,29627
2020-03-26,83790,63117,22336
2020-03-27,49428,109314,29817
2020-03-28,74219,55504,21481
2020-03-29,42426,69501,25186
2020-03-30,70042,288971,17094
2020-03-31,53037,89158,23628
